timestamp,store_id,product_id,quantity,price
2024-03-15T10:30:00Z,store123,prod456,2,29.99
2024-03-15T10:31:00Z,store123,prod789,1,15.99
2024-03-15T10:32:00Z,store456,prod123,5,9.99
2024-03-15T10:33:00Z,store456,prod456,3,29.99
2024-03-15T10:34:00Z,store789,prod789,4,15.99
2024-03-15T10:35:00Z,store789,prod123,2,9.99
2024-03-15T10:36:00Z,store123,prod456,1,29.99
2024-03-15T10:37:00Z,store123,prod789,3,15.99
2024-03-15T10:38:00Z,store456,prod123,2,9.99
2024-03-15T10:39:00Z,store456,prod456,4,29.99
2024-03-15T10:40:00Z,store789,prod789,1,15.99
2024-03-15T10:41:00Z,store789,prod123,3,9.99
2024-03-15T10:42:00Z,store123,prod456,2,29.99
2024-03-15T10:43:00Z,store123,prod789,1,15.99
2024-03-15T10:44:00Z,store456,prod123,5,9.99
2024-03-15T10:45:00Z,store456,prod456,3,29.99
2024-03-15T10:46:00Z,store789,prod789,4,15.99
2024-03-15T10:47:00Z,store789,prod123,2,9.99
2024-03-15T10:48:00Z,store123,prod456,1,29.99
2024-03-15T10:49:00Z,store123,prod789,3,15.99
2024-03-15T10:50:00Z,store456,prod123,2,9.99
2024-03-15T10:51:00Z,store456,prod456,4,29.99
2024-03-15T10:52:00Z,store789,prod789,1,15.99
2024-03-15T10:53:00Z,store789,prod123,3,9.99
2024-03-15T10:54:00Z,store123,prod456,2,29.99
2024-03-15T10:55:00Z,store123,prod789,1,15.99
2024-03-15T10:56:00Z,store456,prod123,5,9.99
2024-03-15T10:57:00Z,store456,prod456,3,29.99
2024-03-15T10:58:00Z,store789,prod789,4,15.99
2024-03-15T10:59:00Z,store789,prod123,2,9.99
2024-03-15T11:00:00Z,store123,prod456,1,29.99